"Bank","Code","Country","Tag","Currency"
"JAIZ BANK","301","Nigeria","jaiz","NGN"
"Parkway","311","Nigeria","parkway","NGN"
"PAYCOM","305","Nigeria","paycom","NGN"
"SKYE BANK PLC","076","Nigeria","skyebank","NGN"
"STANBIC IBTC BANK PLC","221","Nigeria","stanbic","NGN"
"Stanbic Mobile","304","Nigeria","stanbic-mobile","NGN"
"STANDARD CHARTERED BANK NIGERIA LIMITED","068","Nigeria","standard-chartered","NGN"
"STERLING BANK PLC","232","Nigeria","sterling","NGN"
"UNION BANK OF NIGERIA PLC","032","Nigeria","unionbank","NGN"
"UNITED BANK FOR AFRICA PLC","033","Nigeria","uba","NGN"
"UNITY BANK PLC","215","Nigeria","unity","NGN"
"WEMA BANK PLC","035","Nigeria","wema","NGN"
"ZENITH BANK PLC","057","Nigeria","zenith","NGN"
"ZENITH Mobile","322","Nigeria","zenith-mobile","NGN"
"KEYSTONE BANK PLC","082","Nigeria","keystone","NGN"
"HERITAGE BANK","030","Nigeria","heritage","NGN"
"ACCESS BANK NIGERIA","044","Nigeria","access","NGN"
"ACCESS MOBILE","323","Nigeria","access-mobile","NGN"
"AFRIBANK NIGERIA PLC","014","Nigeria","afribank","NGN"
"Aso Savings and Loans","401","Nigeria","aso-savings","NGN"
"DIAMOND BANK PLC","063","Nigeria","diamond","NGN"
"Ecobank Mobile","307","Nigeria","ecobank-mobile","NGN"
"ECOBANK NIGERIA PLC","050","Nigeria","ecobank","NGN"
"ENTERPRISE BANK LIMITED","084","Nigeria","enterprise","NGN"
"GTBANK PLC","058","Nigeria","gtb","NGN"
"GTBank Mobile Money","315","Nigeria","gtb-mobile","NGN"
"FIRST CITY MONUMENT BANK PLC","214","Nigeria","fcmb","NGN"
"FIRST BANK PLC","011","Nigeria","firstbank","NGN"
"FIDELITY BANK PLC","070","Nigeria","fidelity","NGN"
"FBN MOBILE","309","Nigeria","first-mobile","NGN"
"Guardian Bank Limited","55","Kenya","guardian","KES"
"Victoria Commercial Bank Limited","54","Kenya","victoriabank","KES"
"Guaranty Trust Bank","53","Kenya","finabank","KES"
"Jamii Bora Bank","51","Kenya","jamii","KES"
"Paramount Universal Bank Limited","50","Kenya","paramountbank","KES"
"Equatorial Commercial Bank Limited","49","Kenya","equatorial","KES"
"ECO Bank Limited","43","Kenya","ecokenya","KES"
"Giro Commercial Bank Limited","42","Kenya","giro","KES"
"NIC Bank Limited","41","Kenya","nicbank","KES"
"Investments n Mortgages Bank Limited","57","Kenya","mortgagebank","KES"
"Development Bank of Kenya Limited","59","Kenya","developmentbank","KES"
"Fidelity Commercial Bank Limited","60","Kenya","fidelitybank","KES"
"MPESA","MPS","Kenya","mpesa","KES"
"UBA Kenya Bank Ltd","76","Kenya","ubakenya","KES"
"First Community Bank","74","KE","firstcommunity","KES"
"Gulf African Bank Ltd","72","Kenya","gulfbank","KES"
"Family Bank Ltd","70","Kenya","familybank","KES"
"Equity Bank Limited","68","Kenya","equity","KES"
"K-Rep Bank Limited","66","Kenya","krep","KES"
"Diamond Trust Bank Limited","63","KE","diamondtrust","KES"
"Housing Finance Bank","61","Kenya","housingbank","KES"
